Variant,Sent,Opened,Clicked
B4,8/13/13 13:13,8/13/13 13:13,0
E1,8/13/13 13:13,8/13/13 13:14,0
G3,8/13/13 13:15,8/13/13 13:15,0
G3,8/13/13 13:15,8/13/13 13:15,0
G3,8/13/13 13:21,8/13/13 13:22,0
G3,8/13/13 14:12,8/13/13 14:17,0
G3,8/13/13 14:17,8/13/13 14:18,8/13/13 15:23
A3,8/13/13 14:19,0,0
B3,8/13/13 14:19,0,0
E4,8/13/13 14:19,8/13/13 15:43,0
H2,8/13/13 14:19,8/13/13 14:47,0
E3,8/13/13 14:19,0,0
C1,8/13/13 14:19,0,0
C2,8/13/13 14:19,8/13/13 14:32,0
G3,8/13/13 14:19,0,0
H1,8/13/13 14:19,0,0
B1,8/13/13 14:19,8/25/13 22:11,0
H3,8/13/13 14:19,0,0
B3,8/13/13 14:19,8/13/13 17:48,0
D4,8/13/13 14:19,8/13/13 14:50,0
H4,8/13/13 14:19,0,0
C2,8/13/13 14:19,0,0
C4,8/13/13 14:19,8/13/13 15:25,0
H1,8/13/13 14:19,0,0
D1,8/13/13 14:19,0,0
H4,8/13/13 14:19,0,0
G4,8/13/13 14:19,8/13/13 16:19,0
A1,8/13/13 14:19,0,0
A4,8/13/13 14:19,8/13/13 19:15,0
A4,8/13/13 14:19,0,0
E3,8/13/13 14:19,0,0
A4,8/13/13 14:19,8/13/13 14:20,0
C3,8/13/13 14:19,0,0
H1,8/13/13 14:19,0,0
A4,8/13/13 14:19,0,0
G4,8/13/13 14:19,0,0
C4,8/13/13 14:19,8/13/13 14:33,0
C4,8/13/13 14:19,0,0
A2,8/13/13 14:19,8/13/13 19:32,0
E3,8/13/13 14:19,0,0
C2,8/13/13 14:19,0,0
A3,8/13/13 14:19,0,0
G4,8/13/13 14:19,0,0
F1,8/13/13 14:19,8/13/13 18:50,0
D3,8/13/13 14:19,0,0
B1,8/13/13 14:19,8/13/13 16:03,0
B4,8/13/13 14:19,0,0
A2,8/13/13 14:19,0,0
F1,8/13/13 14:19,0,0
E4,8/13/13 14:19,0,0
F4,8/13/13 14:19,0,0
G3,8/13/13 14:19,8/13/13 18:04,8/13/13 18:04
B2,8/13/13 14:19,0,0
D2,8/13/13 14:19,8/13/13 17:15,0
F2,8/13/13 14:19,0,0
A3,8/13/13 14:19,8/13/13 15:43,0
